time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-11-26T12:42:37.800Z,48.8371,154.1076,102.42,5,mb,,85,4.84,0.65,us,usb000t08d,2015-02-24T00:35:05.040Z,"250 km SW of Severo-Kuril’sk, Russia",earthquake,8.6,5.5,0.029,395,reviewed,us,us
2014-11-28T15:03:56.880Z,-4.8748,151.5509,144.8,5,mb,,28,0.913,0.72,us,usb000t0xi,2015-02-24T00:35:09.040Z,"98 km SW of Kokopo, Papua New Guinea",earthquake,6.4,5.1,0.055,106,reviewed,us,us
2014-12-02T05:11:31.000Z,6.1572,123.1261,614,6.6,mww,,9,2.6,1.32,us,usb000t20t,2022-05-03T18:20:44.980Z,"106 km WSW of Sangay, Philippines",earthquake,8.6,1.9,,,reviewed,us,us
2014-12-03T12:59:27.930Z,-2.1563,-76.7712,153.41,5.3,mb,,50,2.911,0.98,us,usb000t2ev,2022-07-27T09:28:42.747Z,"142 km ESE of Palora, Ecuador",earthquake,5,4.6,0.027,485,reviewed,us,us
2014-12-04T18:45:14.600Z,-24.5983,-177.0748,109.45,5.4,mb,,44,4.69,0.57,us,usc000t3sw,2015-02-28T02:16:07.040Z,"south of the Fiji Islands",earthquake,9.1,4.2,0.042,211,reviewed,us,us
2014-12-05T10:43:55.920Z,-6.8394,128.316,251.48,5.1,mb,,14,3.168,1.07,us,usc000t3za,2022-07-27T09:39:26.624Z,"236 km NE of Lospalos, Timor Leste",earthquake,6.9,5.1,0.05,130,reviewed,us,us
2014-12-05T16:01:56.830Z,35.5141,135.7189,355.12,5,mb,,45,0.346,0.72,us,usc000t409,2015-02-28T02:16:09.040Z,"3 km NW of Obama, Japan",earthquake,8.1,6.1,0.041,201,reviewed,us,us
2014-12-06T22:05:10.730Z,-6.11,130.4829,116,6,mww,,10,2.029,0.74,us,usc000t4bd,2022-07-27T09:52:10.591Z,"Banda Sea",earthquake,6.1,1.8,,,reviewed,us,us
2014-12-08T01:28:18.220Z,1.7361,126.9276,117.8,5.2,mb,,70,1.053,1.02,us,usc000t4hj,2015-02-28T02:16:13.040Z,"116 km NNW of Ternate, Indonesia",earthquake,6.6,4.6,0.057,104,reviewed,us,us
2014-12-10T21:03:39.260Z,25.5403,122.4503,256,6.1,mww,,10,1.031,0.77,us,usc000t5bu,2022-07-27T10:12:31.893Z,"77 km NE of Jiufen, Taiwan",earthquake,5.3,1.8,,,reviewed,us,us
2014-12-11T22:27:45.010Z,-20.9347,-178.9082,603.49,5,mb,,18,4.277,0.93,us,usc000t5t0,2022-05-03T17:09:12.353Z,"Fiji region",earthquake,9.1,3.1,0.032,329,reviewed,us,us
2014-12-12T20:22:35.350Z,-18.9043,-176.4443,316.37,5.8,mww,,29,5.352,0.99,us,usc000t652,2022-05-03T17:08:26.275Z,"241 km WNW of Pangai, Tonga",earthquake,7.2,3.6,,,reviewed,us,us
2014-12-14T12:41:54.270Z,-20.833,-176.6973,247.01,5.3,mb,,28,5.832,0.96,us,usc000t6ir,2015-03-04T21:55:03.040Z,"158 km WNW of Haveluloto, Tonga",earthquake,7.8,4.5,0.032,353,reviewed,us,us
2014-12-15T01:18:48.800Z,-5.6109,150.6076,118.51,5.1,mb,,31,1.917,0.99,us,usc000t6qg,2015-03-04T21:55:04.040Z,"52 km E of Kimbe, Papua New Guinea",earthquake,7,5.9,0.082,51,reviewed,us,us
2014-12-18T07:47:45.600Z,-19.5866,-175.4852,197.74,5.2,mb,,87,5.272,1.47,us,usc000t7tt,2015-03-06T02:59:00.040Z,"121 km WNW of Pangai, Tonga",earthquake,9.2,5.5,0.073,64,reviewed,us,us
2014-12-19T19:49:30.080Z,16.1951,-61.8091,118.07,5.6,mww,,30,1.586,0.72,us,usc000t8gv,2022-07-27T11:02:51.788Z,"4 km SSW of Pointe-Noire, Guadeloupe",earthquake,6.6,3.5,,,reviewed,us,us
2014-12-21T21:13:52.790Z,19.2029,145.7722,135.82,5,mb,,26,3.949,0.42,us,usc000t8yw,2015-03-06T02:59:08.040Z,"Maug Islands region, Northern Mariana Islands",earthquake,10,5.6,0.041,220,reviewed,us,us
2014-12-22T13:00:13.580Z,-7.0867,129.1033,180.65,5,mb,,29,2.351,0.96,us,usc000t93d,2015-03-06T02:59:10.040Z,"281 km NE of Lospalos, Timor Leste",earthquake,6.8,3.8,0.06,91,reviewed,us,us
2014-12-23T20:03:57.250Z,-21.9707,170.7183,102.46,5,mb,,95,3.967,0.81,us,usc000t9hs,2015-03-06T02:59:12.040Z,"297 km E of Tadine, New Caledonia",earthquake,9.2,6.4,0.093,39,reviewed,us,us
2014-12-24T08:44:35.120Z,-25.8546,-179.8365,468.9,5,mb,,74,3.778,1.09,us,usc000t9p1,2015-03-17T02:36:55.040Z,"south of the Fiji Islands",earthquake,10.8,6.3,0.076,55,reviewed,us,us
2014-12-27T18:53:47.210Z,-17.9261,-179.49,621.76,5.5,mwb,,27,2.347,0.74,us,usc000taa1,2022-05-03T18:21:24.103Z,"127 km E of Levuka, Fiji",earthquake,6.1,4.1,0.069,20,reviewed,us,us
